Node1,Node2
Q9Y262,O15372
Q9Y262,O75822
Q9Y262,O15371
O15169,O14641
P29474,P60709
P29474,Q05193
Q8WXD5,P62316
Q8WXD5,P62318
Q8WXD5,P62304
Q8WXD5,Q9H840
Q8WXD5,P62314
Q8WXD5,P62306
Q8WXD5,P62308
P62318,P84090
P13984,P19387
Q96B97,Q13191
Q13191,Q9BXL7
Q13905,P62834
P46937,Q4VCS5
P46937,O15105
P46937,P62258
P46937,Q13131
P46937,Q8IY63
P46937,Q9Y2J4
P46937,P62136
P46937,P54619
O43502,O43542
O14744,P62805
O14744,P19387
O14744,Q9Y6K1
O14744,Q9BQA1
P62805,Q16576
P62805,O14929
P62805,P68431
P62805,P49450
P62805,Q99873
P62805,P84243
P62805,O60885
Q96FA3,Q9NWZ3
P30622,Q14203
P30622,Q71U36
P30622,P07437
P30622,Q9H4B7
P06748,P49450
P06748,P68431
P06748,Q8NCD3
Q14203,O95219
Q15003,O95347
O95347,P0C0S5
Q8TEW0,O15144
Q8TEW0,P42858
Q86VP6,Q13620
P35226,Q9HC52
P35226,Q99496
P35226,Q9HCE1
P35226,P78364
Q9HC52,Q99496
Q9HC52,P68431
Q9HC52,P84243
Q9HC52,Q9HCE1
Q9HC52,P42568
Q99496,Q14781
Q99496,O00257
Q99496,Q8N488
Q99496,Q8IY57
Q99496,Q9HCE1
Q99496,Q13127
Q14457,Q99570
Q14457,Q6ZNE5
Q14457,Q9P2Y5
Q14457,P08670
O14980,O95149
O14980,Q08211
O14980,O94776
O14980,P11388
Q13617,P55072
Q9NZN8,O75175
Q9NZN8,A5YKK6
Q9NZN8,Q9ULM6
Q9NZN8,Q9H9A5
Q9NZN8,Q92600
Q9NZN8,Q9UIV1
A5YKK6,Q96LI5
P56524,P61981
P61981,P62258
P61964,Q15291
P61964,Q14686
P61964,Q03164
P61964,Q9UMN6
P61964,Q9C005
Q15291,Q9UBL3
Q15291,Q14686
Q15291,Q6P1J9
Q15291,Q9UMN6
Q15291,Q9C005
Q15291,Q8NEZ4
Q13619,P55072
Q13619,Q96SW2
P30260,Q9UJX6
P30260,Q13042
P30260,Q9UJX5
P30260,Q96FF9
P55072,Q92890
P55072,Q96CS3
P55072,Q9UKV5
Q9NVC6,Q9BTT4
Q9NVC6,P19387
Q9BTT4,Q93074
Q9BTT4,O75448
Q9BTT4,Q9H944
Q9BTT4,O95402
Q03164,Q9UBL3
Q03164,Q13309
Q03164,O15516
Q9UBL3,O14686
Q9UBL3,Q14686
Q9UBL3,Q6P1J9
Q9UBL3,Q9UMN6
Q9UBL3,Q9C005
Q9UBL3,Q8NEZ4
Q9UBL3,O15047
Q9UBL3,Q9UPS6
P68431,Q13111
P68431,Q14781
P68431,O00257
P68431,Q09028
P68431,O14929
P68431,Q16576
P68431,P49321
Q13111,P84243
Q14683,Q9NTI5
Q14683,Q29RF7
Q14683,Q96FF9
Q15370,Q15369
Q15370,Q93034
Q15369,Q93034
Q8N122,Q9BVC4
Q8N122,Q8WUA4
Q8N122,O75385
Q9UJX6,Q9UJX5
Q13042,Q9UJX5
O43264,Q9H900
O43264,P50748
O43264,Q9P2Y5
Q9H900,P50748
Q99814,P27540
Q16576,Q15022
Q16576,P49450
Q16576,Q8NCD3
P50402,P60709
P60709,P07737
P60709,Q14686
P53004,P27361
Q9Y6Q9,Q86X55
O75943,P35250
O75943,P40938
O75943,P40937
Q96CS3,Q9UBV2
Q13227,O60907
Q96KQ7,Q9UBC3
Q96KQ7,Q9H9B1
Q96KQ7,Q15047
Q96KQ7,Q13127
Q7L2H7,O00303
Q7L2H7,O15372
Q7L2H7,Q14152
Q7L2H7,Q99613
Q7L2H7,Q9UBQ5
Q7L2H7,O75822
Q7L2H7,O15371
O00303,O15372
O00303,Q14152
O00303,O75822
O00303,Q99613
O00303,Q9UBQ5
O00303,O15371
Q9UBQ5,Q14152
Q9UBQ5,O15372
Q9UBQ5,O75822
Q9UBQ5,O15371
Q9UBQ5,Q99613
O15371,Q14152
O15371,O15372
O15371,Q99613
O15372,Q14152
O15372,Q99613
O15372,O75822
Q9UBV2,Q13438
Q9UBV2,Q9Y385
O94907,Q96MU8
O94992,Q4G0J3
O94992,Q9NR30
Q99613,Q14152
Q99613,O75822
Q96LI5,Q9UIV1
Q4G0J3,Q9NR30
Q4G0J3,O60885
Q86SZ2,O43617
O43617,O75865
O43617,Q9Y2L5
O43617,P48553
O43617,Q7Z392
O43617,Q8WVT3
O43617,Q9Y296
O43617,Q9Y5R8
Q9H8V3,Q9H0H5
Q9H8V3,Q02241
O15144,P61158
O15144,P61160
O15144,O15511
O15144,O15145
O15144,P59998
O15144,O15143
O15144,O00401
P61158,O15143
P61158,O00401
P61158,O15511
P61160,O15143
P61160,O15511
O15511,O15143
O15511,O15145
O15511,P59998
O15145,O15143
P59998,O15143
Q96A65,Q9NV70
Q9NV70,Q96KP1
P19387,O15514
P19387,P52435
P19387,Q9Y5B0
P19387,Q9BQA1
P19387,P30876
P19387,Q8N201
P19387,Q7KZ85
P19387,Q9H0H0
P19387,Q9UL03
P19387,O43143
P19387,Q9NVR2
P19387,Q9H3P2
P19387,Q8WX92
P19387,Q96CB8
P19387,P18615
P19387,Q6P2C8
P19387,Q8IXH7
P49023,P13612
Q9BQA1,Q9UMN6
Q13155,P07814
Q13155,Q15046
Q99523,P28799
O43633,Q9Y3E7
P07814,Q15046
P07814,O60506
Q15022,O75530
Q15022,Q6ZN18
Q15022,Q09028
Q14686,Q9UMN6
Q14686,Q8NEZ4
Q14686,O15550
Q14686,Q6ZW49
Q14686,Q9C005
Q9UMN6,Q9C005
Q9UMN6,O75475
Q9UMN6,P51610
Q9UMN6,P52597
Q8NEZ4,Q6P1J9
Q9C005,Q12830
Q9C005,O60264
Q9C005,P28370
Q9C005,O94776
Q9C005,Q8IXM2
Q9C005,P51610
Q9C005,Q9P0U4
Q9C005,Q09028
Q14781,P84243
P84243,O00257
O95639,Q6P1J9
Q6P1J9,P33240
Q6P1J9,Q10570
Q6P1J9,Q6PD62
Q6P1J9,Q92797
Q6P1J9,Q8WVC0
Q6P1J9,Q9P2I0
Q6P1J9,Q8N7H5
Q6P1J9,Q9UKF6
Q6P1J9,Q12996
Q6P1J9,Q6UN15
Q6P1J9,Q9GZS3
Q6P1J9,Q9NYV4
Q6P1J9,O60885
Q6P1J9,P42568
O15269,O15270
O15269,Q9NUV7
O15269,Q969W0
O15269,Q8NFR3
P62753,Q9H0U6
P62753,P60866
Q7Z4H7,O94927
Q7Z4H7,Q99871
Q7Z4H7,Q68CZ6
Q7Z4H7,Q9BT25
Q7Z4H7,Q96CS2
Q7Z4H7,Q9NVX0
Q7Z4H7,P16989
Q92797,Q9P2I0
Q92797,Q9NP77
Q92797,P51003
Q9P2I0,P51003
Q8N7H5,Q9NYV4
Q9UKF6,P51003
O60885,Q14839
O60885,A6H8Y1
Q86WV6,P60468
Q12873,Q13263
Q96D31,P48995
P49281,Q9BT67
P49281,Q96PU5
P02751,P21980
Q96PU5,O15105
Q15287,Q9H307
Q15287,O00422
Q15287,Q9UKV3
Q9H307,O00422
Q9UQM7,Q13557
Q14152,O75822
P49450,Q8NCD3
P49450,Q09028
P49450,P17844
P49450,Q8WWI1
Q8NCD3,Q09028
Q15154,Q96R06
Q15154,Q9UPN4
P42568,P51825
P42568,Q6W2J9
Q6IAA8,Q9Y2Q5
O15105,Q9HCE7
Q15797,P17844
P62136,Q99459
O94776,Q8WXI9
Q09028,O75530
Q7L5N1,Q99627
Q7L5N1,Q9UBW8
Q7L5N1,Q9UNS2
Q7L5N1,Q13098
Q7L5N1,P61201
Q7L5N1,Q9BT78
Q7L5N1,Q92905
Q99627,Q92905
Q99627,Q9UNS2
Q99627,Q13098
Q99627,P61201
Q99627,Q9BT78
Q99627,Q9UBW8
Q9UBW8,Q92905
Q9UBW8,Q9UNS2
Q9UNS2,Q92905
Q9UNS2,P61201
Q9UNS2,Q13098
Q9UNS2,Q9BT78
Q13098,Q92905
P61201,Q92905
Q9BT78,Q92905
Q8TAF3,O94782
Q9UJX5,Q9UJX4
Q9UJX5,Q9UJX2
Q9UJX5,Q9H1A4
Q9UJX5,Q9UM13
Q9UJX5,Q9UJX3
Q9Y2Q5,P61421
Q9Y2Q5,Q0VGL1
Q9Y2Q5,O43504
Q9Y2Q5,P21281
P11388,Q08050
O75530,Q6ZN18
O75530,P63244
Q9HCE1,Q9NZI8
Q9HCE1,Q06587
Q13263,Q9UPN9
Q13148,P22626
P60880,O14810
O43809,Q16630
P38159,P62995
P62995,Q13242
P20700,P02545
P20700,Q9UID3
Q96EP0,Q9BYM8
Q96EP0,Q9H0F6
Q9BYM8,Q9H0F6
Q01105,Q08722
Q8WUA4,Q9Y5Q8
Q8WUA4,Q12789
P40763,P49368
P17987,Q9NPJ1
P17987,Q6ZW61
P17987,Q8IWZ6
Q9H9F9,Q9ULG1
P13612,Q8IZP0
P52815,Q92552
P52815,Q7Z7H8
P52815,Q9BZE1
P52815,Q9BRJ2
P52815,P82664
Q15047,Q9H9B1
Q15047,Q9UK61
Q15047,Q99549
P60484,Q12959
P60484,P52732
Q2NKJ3,Q86WV5
Q2NKJ3,Q9H668
Q86WV5,Q9H668
O00422,Q9UKV3
Q6W2J9,Q9BSM1
Q676U5,Q8TDY2
Q2VPB7,Q9H0R1
Q2VPB7,Q9NUS5
Q9H0R1,Q9NUS5
Q15046,P08865
Q8TAM1,Q6ZW61
Q8TAM1,Q8IWZ6
Q8TAM1,Q3SYG4
Q8TAM1,Q9NPJ1
Q6ZW61,Q9NPJ1
Q6ZW61,Q8NFJ9
Q6ZW61,Q9BXC9
Q6ZW61,Q96RK4
Q6ZW61,Q8IWZ6
Q6ZW61,Q3SYG4
Q6ZW61,P49368
Q6ZW61,P48643
Q6ZW61,P78371
Q6ZW61,P50991
Q6ZW61,P50990
Q9BXC9,Q9NPJ1
Q9BXC9,Q8IWZ6
Q9BXC9,Q8N3I7
Q9BXC9,Q3SYG4
Q9NPJ1,Q8IWZ6
Q9NPJ1,P49368
Q9NPJ1,P48643
Q9NPJ1,P78371
Q9NPJ1,P50991
Q9NPJ1,P50990
Q8IWZ6,Q8N3I7
Q8IWZ6,Q3SYG4
Q8IWZ6,P78371
Q8IWZ6,P49368
Q8IWZ6,P50991
Q8IWZ6,Q8NFJ9
Q8IWZ6,Q96RK4
Q8IWZ6,Q8TAM2
Q8NFJ9,Q8N3I7
Q8NFJ9,Q3SYG4
Q3SYG4,Q8N3I7
Q3SYG4,Q96RK4
P84090,Q9H0U6
Q96RK4,Q8N3I7
Q8N3I7,Q8TAM2
Q9H0U6,P60866
Q9H0U6,P46777
Q9H0U6,P23396
P22626,P14866
Q13131,O75385
Q8TDY2,O75385
Q9BTP7,Q8IYD8
O75379,Q9UID3
O75379,O43752
O75379,Q96JG6
Q9UID3,O43752
Q9UID3,Q8N1B4
Q9UID3,Q96AJ9
Q9UID3,Q96JG6
Q9UID3,Q5VIR6
Q9UID3,Q9P1Q0
O43752,Q96JG6
Q8N1B4,Q96JG6
Q8N1B4,Q5VIR6
Q8N1B4,Q9P1Q0
Q12830,O60264
Q96AJ9,Q96JG6
O75143,Q9BSB4
O75143,O75385
Q9BSB4,O75385
O75385,P42858
O75385,Q9Y478
O75385,P54619
P56192,O43324
O15270,Q969W0
O15270,Q8NFR3
Q9NUV7,Q969W0
Q9NUV7,Q8NFR3
P42858,Q14204
P42858,Q9NPB6
O60716,Q14247
Q96ST3,P51608
Q8IWT6,Q6NSJ5
Q8IWT6,Q6P9F7
Q8IWT6,Q8TDW0
Q8IWT6,Q7L1W4
Q9NR30,Q9H0D6
Q9NR30,Q9Y2X3
Q9NR30,O60832
O60306,Q9ULR0
O60306,Q9HCS7
O60306,Q9UNP9
Q9UNP9,Q15428
Q96JG6,Q5VIR6
Q96JG6,O14662
Q96JG6,Q86Y82
Q96JG6,Q15836
Q5VIR6,Q9P1Q0
Q9UK61,Q99549
Q9UK61,Q8NEY8
Q99549,Q8NEY8
Q6IA86,Q9H9T3
Q9NZU0,Q9HAR2
Q12959,P52732
Q96S15,Q9NXC5
P51608,Q9BZK7
O75140,Q8WTW4
O75140,Q12980
P12277,Q96DX5
