Node1,Node2
P05412,Q13330
P24588,P17252
P24588,P13861
P24588,Q08209
P23458,P40189
P23458,P17181
P23458,P14784
P17181,P48551
P17181,P01563
P17181,P01574
Q01094,P19838
Q01094,Q8N726
Q01094,Q92547
Q01094,P38398
Q01094,Q13547
Q01094,P49336
Q01094,Q86X55
Q01094,Q9Y6Q9
P19838,P34932
P19838,O00255
P19838,P41279
P19838,Q15653
P19838,P35606
P19838,Q04864
P19838,O00221
P19838,Q9Y6K9
P19838,Q00653
P19838,O00505
P19838,Q01201
P19838,Q15025
P19838,Q8NFZ5
P19838,O15111
P19838,P25963
P19838,Q04206
P19838,Q15672
P62873,P59768
P18074,P32780
P18074,Q13888
P18074,P43351
P18074,Q92759
P18074,Q6ZYL4
P32780,Q13888
P32780,P29083
P32780,Q6ZYL4
P32780,Q92759
P32780,P19387
Q13888,Q13216
Q13888,Q6ZYL4
Q13888,Q92759
Q13216,Q03468
P05067,P08138
P12830,P35222
P12830,Q9H8V3
P12830,Q9H0H5
P67870,P19784
P67870,P68400
P19174,P11362
P19174,Q03135
P19174,P21802
P08514,P05106
P05106,P06756
P35222,Q9Y265
P35222,Q9UJU2
P35222,P25054
P35222,O15169
P35222,Q9Y297
P35222,P35869
P35222,Q16531
P35222,O14746
P35222,P14618
P35222,Q96EB6
P35222,P51532
P35222,P49757
P35222,P40337
P35222,Q04206
P35869,P07900
P35869,Q16531
P07900,P04150
P07900,Q99558
P07900,O15111
P07900,O14920
P07900,Q14164
P07900,Q9Y6K9
P07900,Q99759
P07900,Q9UHD2
P07900,O43318
P04150,Q12888
P04150,Q05086
P04150,Q99801
P14784,P01589
P14784,P60568
P14784,P31785
P01589,P60568
P60568,P31785
Q04864,P34932
Q04864,Q8NFZ5
Q04864,P41279
Q04864,Q04206
Q04864,P25963
Q04864,O00221
Q04864,Q00653
Q04864,Q15653
P34932,Q04206
P34932,P25963
Q04206,O00255
Q04206,P41279
Q04206,Q15653
Q04206,Q00653
Q04206,O00221
Q04206,Q8NFZ5
Q04206,O15111
Q04206,Q13576
Q04206,Q9ULX6
Q04206,P25963
Q04206,Q01201
Q04206,Q8WTS6
P25963,Q00653
P25963,Q9UKB1
P25963,Q13616
P25963,Q15653
P25963,O95163
P25963,P33992
P25963,O15111
P25963,O14920
P25963,P33993
P25963,Q9Y6K9
P25963,P63208
P25963,P25789
P19388,P19387
P19338,P05455
P19338,P22087
P63279,Q06609
P63279,P43351
P63279,P63165
P63279,Q9Y265
Q06609,P27694
Q06609,P43351
Q06609,P51587
Q06609,Q14191
Q06609,P63165
Q06609,P54132
Q06609,Q14676
Q06609,O14980
P48551,P01563
P48551,P01574
P43351,P27694
P43351,P15927
P43351,P35244
P19784,P68400
P24864,P38936
P24864,P46527
P06702,P05109
P61244,P50539
P61244,P01106
P61244,Q9Y4A5
P61244,Q92830
P61244,O75529
P61244,O75486
P19793,P10276
P19793,P11473
P19793,Q15596
P10276,Q15596
P10276,Q05086
P10276,Q16236
P10276,Q15788
P10276,Q9Y618
P10276,O75376
P10276,P51946
P10276,O43707
P38936,P12004
P38936,Q92466
P13861,Q03135
P49841,P31749
P49841,O15169
P49841,P01106
P28482,P53004
Q02750,P53004
P14635,Q13635
P20936,Q03135
P20936,Q9NYB0
Q01081,P26368
P26368,Q07955
P26368,Q96I25
P26368,Q15637
P21926,P16070
P16070,P13612
P12004,Q8IWY9
P12004,P24522
P12004,O95257
P12004,P35249
P12004,Q15054
Q07955,P38919
P41182,Q9Y618
P41182,O75376
P41182,Q86XK2
P41182,Q13616
P41182,P63208
Q9Y618,O15379
Q9Y618,Q13227
Q9Y618,O60907
Q9Y618,Q96T58
P01375,P36941
P01375,P01374
P01375,Q12933
P01375,O75530
P01375,P63244
P01375,Q9H0F6
P01375,Q96EP0
P01375,Q9BYM8
P01374,P36941
P01374,Q06643
P36941,Q13114
P05112,P24394
P21802,P05230
P21802,P50281
P05230,P11362
P29459,P29460
P29459,Q99665
P29459,P42701
P08138,P01138
P01138,Q99523
P26992,P26441
P26441,P42702
P42702,P15018
P36894,P12643
Q13105,P03372
Q13105,Q92731
P37173,P10600
P37173,P01137
P37173,P36897
P10600,P36897
P36897,P01137
Q03135,P29474
Q03135,P48995
Q03135,P60709
P03372,Q9Y6X2
P03372,O75925
P03372,Q15596
P03372,Q05086
P03372,P29474
P03372,Q92993
P03372,Q92731
Q9Y6X2,Q92731
Q92731,O75925
P38398,Q99728
P38398,O14867
P38398,Q92547
P38398,Q13363
P38398,P01106
P38398,Q6UWZ7
P38398,Q96RL1
P38398,P51587
P38398,O75330
P38398,P63165
P38398,O14965
P38398,P17535
P38398,P11388
Q12888,P62805
Q12888,P53350
Q12888,P63165
Q12888,Q14686
Q14192,Q13683
Q14192,P26006
Q14192,P51610
P50613,P24928
P50613,Q9BWU1
P50613,O00267
Q92993,Q9Y265
Q92993,P35637
Q92993,Q01844
Q92993,Q92804
Q92993,Q96GD4
P63098,Q08209
Q08209,Q13469
Q05086,P68036
P51946,Q92759
Q13114,Q92844
Q13114,P61964
Q13114,Q9NPH3
Q12931,Q9BXM7
Q12931,O15392
Q14974,P52292
Q14974,Q16637
Q14974,P52298
Q14974,Q9BUR4
Q14974,O95149
P52292,Q15653
P52292,Q01201
P52292,P52298
Q12933,Q92844
Q12933,Q15750
Q12933,Q9UHD2
Q12933,Q99558
P62877,Q13616
P62877,Q86XK2
P62877,Q13309
P62877,P49427
P62877,Q13618
P62877,Q16531
P62877,Q92466
Q13616,Q15653
Q13616,O00221
Q13616,Q9UKB1
Q13616,Q9Y297
Q13616,Q86VP6
Q13616,Q15843
Q13616,Q86XK2
Q13616,O75586
Q13616,Q8N3Y1
Q13616,P41002
Q13616,Q13309
Q13616,Q5XUX0
Q13616,P46527
Q13547,Q16254
Q13547,Q92769
Q13547,Q9UKL0
Q13547,Q13227
Q13547,P17542
Q13547,O94776
Q13547,O60341
Q13547,O95983
Q13547,Q96ST3
Q13547,Q9UKV8
P35244,P15927
P35244,P27694
P35244,O00255
P15927,P78527
P15927,P23025
P15927,P12956
P15927,O00255
P15927,P27694
P15927,P49643
P78527,P12956
P78527,P27694
P78527,P13010
P78527,P23025
P78527,P49450
P78527,P68431
P12956,P13010
P12956,P49450
P12956,P68431
P12956,Q13426
P27694,P23025
P27694,O00255
P23025,P07992
O60566,O43684
O60566,O00203
O60566,Q12834
O60566,P30260
O60566,Q9UJX5
O60566,Q13257
O60566,Q8NG31
O43684,Q13257
O00203,Q9Y496
Q15648,O95402
Q15648,Q71SY5
Q15648,P49336
Q15648,O60885
Q15648,P24863
Q15648,Q96RN5
Q15648,Q93074
Q15648,Q9UHV7
Q15648,O75448
Q15648,Q9NVC6
Q15648,Q9Y2X0
Q15648,O60244
Q15648,Q9ULK4
P51587,P60896
P51587,O14980
Q8IWY9,O95257
Q8IWY9,P24522
P35249,O75943
Q00535,P07814
Q8N726,P06748
Q8N726,Q13330
P07992,Q92889
O00255,Q00653
O00255,P17535
O00255,Q03164
O00255,Q9UMN6
Q00653,Q01201
Q00653,P41279
Q00653,Q15653
Q00653,Q969H0
Q00653,O15111
Q00653,O14920
Q00653,Q9Y6K9
Q00653,Q8NFZ5
Q00653,O00571
Q00653,Q92896
Q00653,P78347
Q00653,Q02878
Q00653,O00221
Q00653,O15027
Q00653,Q99558
Q00653,P15036
O75771,O43543
Q92547,Q07864
Q99708,Q13363
Q99708,O75475
Q99708,P16104
Q99708,Q92878
Q99708,P49959
Q99708,O60934
Q99708,Q9UQ84
Q99708,P56545
P51532,Q01201
P51532,O14497
P51532,Q68CP9
P51532,Q86U86
P51532,Q969G3
P51532,Q12824
P51532,P11388
P51532,O14746
P78347,O15379
O15379,Q13227
O15379,P14618
O15379,P56524
O15379,P51608
Q15653,Q9Y2S0
Q15653,Q16342
Q15653,O15111
Q15653,O14920
Q15653,Q13576
Q15653,P42704
Q15653,P23508
Q15653,P46199
Q15653,Q9UJF2
Q15653,P52434
Q15653,Q9H9Y6
Q15653,O95602
Q15653,O15446
Q15653,Q9UKB1
Q15653,Q9Y6K9
Q15653,P63208
O00743,O00221
O00221,Q9UKB1
O00221,O15111
O00221,O15084
O00221,O75170
O00221,Q9UPN7
O00221,P63208
Q16543,Q99558
Q16543,O15111
Q16543,O14920
Q16543,Q14164
Q16543,Q9Y6K9
Q16543,Q99759
Q16543,O43318
Q16543,Q9UHD2
Q99759,Q04917
Q99759,P27348
Q99759,Q13163
